id,phones,base_phones,confidence,base_confidence,label,reason
08f27430d0a8b980030095869e58c225,"[""+19207552345""]","[""(920) 755-2345""]",0.9645127118644068,1.0,"",""
08f2681a5dd0d6b303b66abf759ffcae,"[""+13034272128""]",[null],0.9837452982267598,1.0,"",""
08f1f8d44a649a0a03126a38b4d53620,"[""+4989210390""]","[""089 210390""]",0.9908651262761956,1.0,"",""
08fad3618e4a04ea032d5d60f42d16aa,"[""+27210075588""]",[null],0.7927927927927928,1.0,"",""
08f1ed6c9600e9ac0396545f95a4326e,"[""+393496434773""]","[""329 362 2229""]",0.9645127118644068,1.0,"",""
08f1ea40447a59b2039b146d6f3ddbfe,"[""0445523687""]","[""0445 523687""]",0.77,1.0,"",""
08f2aa4d98923b4503b1be6672e9cf20,"[""+13155975849""]","[""3155975849""]",0.9962614185921548,0.77,"",""
08fa81008d232933037806016bb78307,"[""+551129124233""]",[null],0.48103896103896104,1.0,"",""
08f44d86abca4440035e9ac8397351e1,"[""+17045633981""]","[""7045633981""]",0.9962614185921548,0.77,"",""
08f195805d22e99803b04ba7d7feba09,"[""+447815110207""]","[""0870 446 1020""]",0.9467515923566879,1.0,"",""
08f1fb4662c8363303fb90bbcdd4a7f6,"[""+33142364634""]","[""01 42 36 46 34""]",0.9837452982267598,1.0,"",""
08f2a9370c8a005a03ef10a30f50345f,"[""+18597574443""]","[""8597574443""]",0.9962614185921548,0.77,"",""
1125899912004625,"[""9517154663""]","[""9517154611""]",0.77,0.77,"",""
08f194a820c80805034a0e3999914078,"[""+441622751502""]","[""01622 751398""]",0.9837452982267598,1.0,"",""
08f499daaeaf338203c61a044f43c413,"[""+524447934671""]",[null],0.9908651262761956,1.0,"",""
08f1f14a8e7a0c63033e02e2112ebd12,"[""+49440298680""]","[""04944 519181408""]",0.9837452982267598,1.0,"",""
08f2675c165825450328dce4ea9f6a2c,"[""+13095244765""]","[""3095244765""]",0.997898979043525,0.77,"",""
08f446c30484b371035d9d145865aa89,"[""+17136940189""]","[""7136940189""]",0.9962614185921548,0.77,"",""
08f489c0b06295730375f2ea0ebd5aed,"[""8005318722""]","[""(800) 531-8722""]",0.77,1.0,"",""
08f269690a2f6d0a03b192839a5d2c4d,"[""+18016212116""]","[""(801) 621-2116""]",0.7927927927927928,1.0,"",""
08f2aa6d8e0d0a450398f2b2725ab488,"[""7166266750""]","[""(716) 626-6750""]",0.77,1.0,"",""
08f42c28e6d9658c03ffd85b2292fe54,"[""""]","[""09904988939""]",0.77,0.77,"",""
08f4823ad167532903b45bc53a70221e,"[""+528000046633""]",[null],0.7927927927927928,1.0,"",""
08f1f1a8da865c3503b4c552c4c8273e,"[""+4934197855045""]","[""034197855045""]",0.9918379237288135,0.77,"",""
08f4988d92618bb10322213128bbbd25,"[""+524499123750""]","[""449 912 3750""]",0.9467515923566879,1.0,"",""
08f450a6b2294d5203313bd27e054fe8,"[""+529988849440""]","[""998 884 1041""]",0.9837452982267598,1.0,"",""
08f30e1d8332e4cd03e5851235f9d929,"[""+10220777052""]","[""+10220777755""]",0.48103896103896104,0.3941504178272981,"",""
08f11aa78c7ad0e5034e75b4b7abd882,"[""+74993942724""]","[""8 (495) 953-12-14""]",0.2009132420091324,1.0,"",""
08f26c860db342c903fdde464d319c01,"[""+14695577000""]","[""(972) 245-2117""]",0.9097222222222222,1.0,"",""
08f2f5ba509090ac03468e634b18ae44,"[""0544282811""]","[""0544-28-2811""]",0.77,1.0,"",""
08f441ac5028341503f0b847ac0f6f93,"[""+18136814444""]","[""8136814444""]",0.9895134099616858,0.77,"",""
08f1f8d0cab5601e03afcf3c0966940b,"[""+498122227280""]","[""08122227280""]",0.9962614185921548,0.77,"",""
08f800554892e902035ab8d046512579,"[""+558621072200""]",[null],0.9908651262761956,1.0,"",""
281474977374045,"[""6034248245""]","[""""]",0.77,0.77,"",""
08f618925369418303e5a2240dc89c5b,"[""09426792001""]","[""075739 19585""]",0.77,1.0,"",""
08f2b9aa6cd83dac03aaf49b2b35ae57,"[""+19058983320""]","[""9058983320""]",0.9895134099616858,0.77,"",""
08f1e002d2532416034e929d26e8c0f7,"[""0901961553""]",[null],0.8806389610389611,1.0,"",""
08f29a0a8c159a520338e471dcd80591,"[""+19095973722""]","[""9095973722""]",0.997898979043525,0.77,"",""
08f2d1032418c25803ba88528702a04c,"[""+105469312255""]",[null],0.3941504178272981,1.0,"",""
08f499586b644a620342160687c22f5f,"[""+525576381296""]",[null],0.9467515923566879,1.0,"",""
08f29a115e84c2a403e23dd743811ca2,"[""+18888094713""]","[""8888094713""]",0.9918379237288135,0.77,"",""
08f1951b4b8939820392d42fadf7bf37,"[""+441614861417""]","[""01614861417""]",0.9877528662420382,0.77,"",""
08f194adab32588d030bf3e6651babcf,"[""+442085435425""]","[""02085435425""]",0.9895134099616858,0.77,"",""
08f2a346131025a103c49945e98beab6,"[""+12079858790""]","[""2079858790""]",0.9523423423423424,0.77,"",""
08f2a89672a32681039a389a0b9bbafa,"[""+19198708711""]","[""9198708711""]",0.9962614185921548,0.77,"",""
08f2aa38c18f37ac03f6031db0895b12,"[""+18148671092""]","[""(877) 421-9062""]",0.9962614185921548,1.0,"",""
08f44ae8010ea034037504a8a664bb97,"[""+15615868666""]","[""(416) 525-3283""]",0.9146576663452266,1.0,"",""
08f1f88243665d18033b4f1690be86cc,"[""+43524499870""]","[""0524499870""]",0.9918379237288135,0.77,"",""
08fa81025946ecc103d1b16a27945070,"[""+551144090000""]",[null],0.9385113268608414,1.0,"",""
08f1f0060068c870036f9281dbf4bfcc,"[""+493816373424""]","[""04938 16373424""]",0.9837452982267598,1.0,"",""
08f26cbc6b03510003553ce6709596c4,"[""9727751111""]","[""(972) 775-1111""]",0.77,1.0,"",""
08f2e74a846a54c003fe65f737d694ec,"[""+81272128557""]","[""027-212-8557""]",0.9645127118644068,1.0,"",""
08fa80eca92f2a1603066fd16d331024,"[""+5518991901420""]","[""(55) 4004-4041""]",0.9919372693726938,1.0,"",""
08f44ab86941b2c003a278334d573e41,"[""+13214494498""]",[null],0.9837452982267598,1.0,"",""
08f2986a82c92b5003309ff5c3c715bf,"[""+17253030086""]","[""7253030086""]",0.9962614185921548,0.77,"",""
08f2b9da094a66c6032deedf522acb43,"[""6135316056""]",[null],0.77,1.0,"",""
08fa8a078a2b1ca803aa5f70d531b12a,"[""+558007796761""]","[""08007732732""]",0.997898979043525,0.77,"",""
08f264d133962a4d03f03f3066a92a36,"[""+16152485100""]","[""6157634518""]",0.9962614185921548,0.77,"",""
08f1e80505821ce503d0fee349992585,"[""+39063700570""]","[""06 370 0570""]",0.9837452982267598,1.0,"",""
08f489ec5674157103490ff2a1831365,"[""+13618653730""]","[""3618653730""]",0.9962614185921548,0.77,"",""
1125899910351149,"[""5163711079""]","[""5163711079""]",0.77,0.77,"",""
562949956205761,"[""5704552296""]","[""5704552296""]",0.77,0.77,"",""
